CAM	Y	M 	D 	H	Obs	Pred0	Pred24	Pred48
  1 2020  1  3  0    10.19     3.04     3.03     3.00
  2 2020  1  3  0    10.19    11.22    12.03    11.44
  3 2020  1  3  0    10.19    18.66    18.62    17.81
  4 2020  1  3  0    10.19    15.09    16.36    16.84
  5 2020  1  3  0    10.19     6.98     6.70     8.25
  6 2020  1  3  0    10.19    21.71    21.71    22.51
  7 2020  1  3  0    10.19     8.37     6.68     6.19
  8 2020  1  3  0    10.19    12.95    12.91    13.50
  9 2020  1  3  0    10.19     6.71     6.27     6.30
  1 2020  1  4  0     4.97     2.57     2.57     2.77
  2 2020  1  4  0     4.97    14.41    16.54    16.74
  3 2020  1  4  0     4.97    12.84    12.81    11.93
  4 2020  1  4  0     4.97     2.66     2.67     2.41
  5 2020  1  4  0     4.97     2.31     5.76     2.84
  6 2020  1  4  0     4.97    19.29    19.29    32.73
  7 2020  1  4  0     4.97     0.40     0.38     0.54
  8 2020  1  4  0     4.97     2.14     2.12     2.29
  9 2020  1  4  0     4.97     0.76     0.74     0.99
  1 2020  1  5  0     8.36     1.68     1.67     1.68
  2 2020  1  5  0     8.36     2.63     2.79     3.07
  3 2020  1  5  0     8.36     4.58     4.55     3.93
  4 2020  1  5  0     8.36     2.65     2.60     2.37
  5 2020  1  5  0     8.36     1.21     0.91     1.52
  6 2020  1  5  0     8.36     9.95     9.95    14.53
  7 2020  1  5  0     8.36     0.43     0.30     0.26
  8 2020  1  5  0     8.36     2.83     2.86     2.91
  9 2020  1  5  0     8.36     0.81     0.79     0.72
  1 2020  1  6  0     2.29     2.12     2.13     2.18
  2 2020  1  6  0     2.29     7.55     5.95     5.08
  3 2020  1  6  0     2.29     2.46     2.46     2.33
  4 2020  1  6  0     2.29     1.05     1.06     1.14
  5 2020  1  6  0     2.29     0.29     0.27     0.95
  6 2020  1  6  0     2.29     3.18     3.18     6.90
  7 2020  1  6  0     2.29     0.23     0.23     0.26
  8 2020  1  6  0     2.29     3.08     3.06     3.07
  9 2020  1  6  0     2.29     0.75     0.74     0.69
  1 2020  1  7  0     4.49     4.07     4.07     4.54
  2 2020  1  7  0     4.49     4.75     4.60     4.13
  3 2020  1  7  0     4.49     6.24     6.24     9.15
  4 2020  1  7  0     4.49     2.30     2.84     3.93
  5 2020  1  7  0     4.49     1.50     1.34     5.07
  6 2020  1  7  0     4.49     3.43     3.43     3.82
  7 2020  1  7  0     4.49     3.13     3.38     0.85
  8 2020  1  7  0     4.49    10.79    10.80    11.80
  9 2020  1  7  0     4.49     2.53     2.67     3.35
  1 2020  1  8  0     0.35     4.09     4.09     3.90
  2 2020  1  8  0     0.35     8.86     8.23     6.73
  3 2020  1  8  0     0.35    12.27    12.29    11.84
  4 2020  1  8  0     0.35    12.84    12.54     9.74
  5 2020  1  8  0     0.35     3.11     3.16     3.87
  6 2020  1  8  0     0.35     4.78     4.78     4.04
  7 2020  1  8  0     0.35     4.25     4.43     3.18
  8 2020  1  8  0     0.35     5.52     5.47     6.01
  9 2020  1  8  0     0.35     4.64     4.29     4.11
  1 2020  1  9  0     5.57     4.23     4.23     3.57
  2 2020  1  9  0     5.57    24.01    26.39    20.85
  3 2020  1  9  0     5.57    23.94    23.95    22.15
  4 2020  1  9  0     5.57     2.84     2.82     2.44
  5 2020  1  9  0     5.57     3.95     5.14     4.08
  6 2020  1  9  0     5.57    16.13    16.13    24.78
  7 2020  1  9  0     5.57     3.09     2.58     1.98
  8 2020  1  9  0     5.57     3.55     3.55     3.45
  9 2020  1  9  0     5.57     1.57     1.38     1.73
  1 2020  1 10  0     9.31     2.93     2.93     3.01
  2 2020  1 10  0     9.31    15.29    12.62    17.03
  3 2020  1 10  0     9.31    19.91    19.93    20.00
  4 2020  1 10  0     9.31     6.73     7.08     4.70
  5 2020  1 10  0     9.31     3.18     3.27     3.05
  6 2020  1 10  0     9.31    10.26    10.26     9.07
  7 2020  1 10  0     9.31     5.28     5.82     1.22
  8 2020  1 10  0     9.31     3.17     3.18     2.13
  9 2020  1 10  0     9.31     4.87     4.98     1.40
  1 2020  1 11  0     6.03     3.86     3.85     4.16
  2 2020  1 11  0     6.03    10.62    10.94     8.54
  3 2020  1 11  0     6.03     9.37     9.35    13.05
  4 2020  1 11  0     6.03     1.19     1.22     1.57
  5 2020  1 11  0     6.03     2.82     2.59     3.69
  6 2020  1 11  0     6.03     2.40     2.40     8.70
  7 2020  1 11  0     6.03     0.70     1.03     1.07
  8 2020  1 11  0     6.03     3.79     3.79     3.55
  9 2020  1 11  0     6.03     0.96     1.00     1.32
  1 2020  1 12  0     5.39     2.62     2.62     2.66
  2 2020  1 12  0     5.39    11.91    10.74    12.69
  3 2020  1 12  0     5.39     8.19     8.18     4.77
  4 2020  1 12  0     5.39     5.12     4.78     2.66
  5 2020  1 12  0     5.39     2.80     3.03     3.19
  6 2020  1 12  0     5.39    13.41    13.41    11.02
  7 2020  1 12  0     5.39     1.06     1.75     1.06
  8 2020  1 12  0     5.39     2.63     2.40     1.92
  9 2020  1 12  0     5.39     1.81     1.83     0.79
  1 2020  1 13  0     6.60     3.18     3.18     3.59
  2 2020  1 13  0     6.60    18.90    18.19    18.46
  3 2020  1 13  0     6.60    10.84    10.82     7.80
  4 2020  1 13  0     6.60     1.61     1.61     1.12
  5 2020  1 13  0     6.60     3.22     3.26     3.82
  6 2020  1 13  0     6.60     9.00     9.00     7.14
  7 2020  1 13  0     6.60     1.18     0.85     1.06
  8 2020  1 13  0     6.60     2.77     2.77     3.64
  9 2020  1 13  0     6.60     0.72     0.74     0.78
  1 2020  1 14  0     4.47     2.63     2.63     2.92
  2 2020  1 14  0     4.47    14.00    13.49    13.51
  3 2020  1 14  0     4.47     6.44     6.46     6.56
  4 2020  1 14  0     4.47     2.35     2.37     1.98
  5 2020  1 14  0     4.47     2.51     1.68     2.52
  6 2020  1 14  0     4.47     9.04     9.04    12.07
  7 2020  1 14  0     4.47     1.54     0.92     0.46
  8 2020  1 14  0     4.47     2.01     2.01     2.19
  9 2020  1 14  0     4.47     0.78     0.77     0.79
  1 2020  1 15  0     2.55     3.46     3.46     3.43
  2 2020  1 15  0     2.55    10.13    11.02     9.32
  3 2020  1 15  0     2.55     5.36     5.35     4.39
  4 2020  1 15  0     2.55     1.91     1.78     1.40
  5 2020  1 15  0     2.55     1.76     1.74     0.43
  6 2020  1 15  0     2.55     4.59     4.59     2.91
  7 2020  1 15  0     2.55     0.93     0.89     0.77
  8 2020  1 15  0     2.55     2.13     2.14     2.21
  9 2020  1 15  0     2.55     0.82     0.70     0.66
  1 2020  1 16  0     5.46     3.30     3.30     4.33
  2 2020  1 16  0     5.46     6.75    11.83     9.74
  3 2020  1 16  0     5.46     2.40     2.40    10.94
  4 2020  1 16  0     5.46     1.13     1.14     1.90
  5 2020  1 16  0     5.46     5.50     1.15     0.72
  6 2020  1 16  0     5.46     4.02     4.02     2.94
  7 2020  1 16  0     5.46     1.27     1.24     3.27
  8 2020  1 16  0     5.46     6.03     6.02     7.68
  9 2020  1 16  0     5.46     2.10     2.20     3.65
  1 2020  1 17  0     4.87     3.60     3.61     4.70
  2 2020  1 17  0     4.87    15.61    12.43    17.25
  3 2020  1 17  0     4.87    13.63    13.65    15.28
  4 2020  1 17  0     4.87     3.97     4.29     3.85
  5 2020  1 17  0     4.87     4.48     4.56     3.33
  6 2020  1 17  0     4.87     4.85     4.85     8.09
  7 2020  1 17  0     4.87     2.49     2.68     1.18
  8 2020  1 17  0     4.87     4.01     4.02     4.42
  9 2020  1 17  0     4.87     3.17     3.16     2.18
  1 2020  1 18  0     4.02     3.69     3.70     3.96
  2 2020  1 18  0     4.02     6.37     8.76     7.93
  3 2020  1 18  0     4.02     8.67     8.70     4.26
  4 2020  1 18  0     4.02     1.96     1.91     1.05
  5 2020  1 18  0     4.02     1.80     1.80     3.29
  6 2020  1 18  0     4.02     2.48     2.48     3.52
  7 2020  1 18  0     4.02     0.75     0.76     0.83
  8 2020  1 18  0     4.02    12.73    12.71     7.42
  9 2020  1 18  0     4.02     2.78     2.72     1.93
  1 2020  1 19  0     5.71     6.60     6.60     4.37
  2 2020  1 19  0     5.71    10.15     8.24     9.07
  3 2020  1 19  0     5.71     9.25     9.24     6.22
  4 2020  1 19  0     5.71     2.55     3.02     1.42
  5 2020  1 19  0     5.71     2.11     0.93     5.42
  6 2020  1 19  0     5.71     1.92     1.92     2.15
  7 2020  1 19  0     5.71     1.09     1.01     0.94
  8 2020  1 19  0     5.71     3.69     3.69     9.07
  9 2020  1 19  0     5.71     8.78     8.68     4.69
  1 2020  1 20  0     4.29     2.37     2.37     2.11
  2 2020  1 20  0     4.29     6.51     6.03     6.39
  3 2020  1 20  0     4.29     2.41     2.41     2.22
  4 2020  1 20  0     4.29     0.95     1.03     0.93
  5 2020  1 20  0     4.29     1.77     1.64     2.09
  6 2020  1 20  0     4.29     2.12     2.12     2.19
  7 2020  1 20  0     4.29     0.33     0.74     0.26
  8 2020  1 20  0     4.29     5.09     5.07     4.76
  9 2020  1 20  0     4.29     0.76     0.70     0.67
  1 2020  1 21  0     2.43     1.87     1.87     1.95
  2 2020  1 21  0     2.43    14.18    15.10    15.32
  3 2020  1 21  0     2.43     7.05     7.06     7.30
  4 2020  1 21  0     2.43     1.93     1.94     1.98
  5 2020  1 21  0     2.43     2.70     2.87     4.52
  6 2020  1 21  0     2.43    13.41    13.41    15.38
  7 2020  1 21  0     2.43     0.59     0.79     0.53
  8 2020  1 21  0     2.43     1.61     1.62     1.35
  9 2020  1 21  0     2.43     0.54     0.56     0.54
  1 2020  1 22  0     6.37     3.46     3.46     2.86
  2 2020  1 22  0     6.37    24.30    23.60    28.17
  3 2020  1 22  0     6.37    15.49    15.50    16.07
  4 2020  1 22  0     6.37     1.28     1.27     1.21
  5 2020  1 22  0     6.37     2.16     2.05     1.68
  6 2020  1 22  0     6.37    15.02    15.02    11.28
  7 2020  1 22  0     6.37     0.69     0.51     0.75
  8 2020  1 22  0     6.37     3.24     3.27     2.31
  9 2020  1 22  0     6.37     1.11     1.10     0.93
  1 2020  1 23  0     4.34     2.62     2.63     2.67
  2 2020  1 23  0     4.34     2.80     3.01     2.79
  3 2020  1 23  0     4.34     4.47     4.48     4.05
  4 2020  1 23  0     4.34     2.15     2.21     2.21
  5 2020  1 23  0     4.34     1.36     1.36     1.50
  6 2020  1 23  0     4.34     7.78     7.78     8.87
  7 2020  1 23  0     4.34     0.54     0.57     0.51
  8 2020  1 23  0     4.34     3.08     3.10     2.41
  9 2020  1 23  0     4.34     2.26     2.31     1.84
  1 2020  1 24  0     3.83     3.27     3.29     3.55
  2 2020  1 24  0     3.83    18.43    18.49    19.28
  3 2020  1 24  0     3.83    14.53    14.60    24.50
  4 2020  1 24  0     3.83     1.31     1.34     4.28
  5 2020  1 24  0     3.83     2.94     2.59     2.34
  6 2020  1 24  0     3.83     7.62     7.62     4.47
  7 2020  1 24  0     3.83     2.82     2.87     3.96
  8 2020  1 24  0     3.83     2.06     2.06     3.25
  9 2020  1 24  0     3.83     0.96     0.83     2.59
