CAM	Y	M 	D 	H	Obs	Pred0	Pred24	Pred48
  1 2020  1  3  0    18.58     0.79     0.78     1.87
  2 2020  1  3  0    18.58     4.77     4.03     2.60
  3 2020  1  3  0    18.58     9.76     9.73     9.89
  4 2020  1  3  0    18.58    10.61    10.60    14.64
  5 2020  1  3  0    18.58     4.74     5.21     2.76
  6 2020  1  3  0    18.58    17.64    17.64     8.07
  7 2020  1  3  0    18.58     5.01     4.12     4.19
  8 2020  1  3  0    18.58     4.93     4.88     3.89
  9 2020  1  3  0    18.58     1.22     1.26     1.10
  1 2020  1  4  0    15.01     1.66     1.66     1.83
  2 2020  1  4  0    15.01    15.68    16.27     4.99
  3 2020  1  4  0    15.01    15.17    15.18    15.51
  4 2020  1  4  0    15.01     9.79     9.77    10.81
  5 2020  1  4  0    15.01     9.59     7.14     7.94
  6 2020  1  4  0    15.01     9.25     9.25    13.02
  7 2020  1  4  0    15.01     1.24     1.42     1.68
  8 2020  1  4  0    15.01     2.17     1.32     1.47
  9 2020  1  4  0    15.01     1.12     1.35     1.29
  1 2020  1  5  0    14.95     5.90     5.91     5.05
  2 2020  1  5  0    14.95     9.83     8.95     8.43
  3 2020  1  5  0    14.95    20.67    20.69    20.10
  4 2020  1  5  0    14.95    18.38    18.57    20.99
  5 2020  1  5  0    14.95    10.64    10.10     9.19
  6 2020  1  5  0    14.95    32.95    32.95    26.19
  7 2020  1  5  0    14.95    10.12     8.77     6.75
  8 2020  1  5  0    14.95    11.44    11.75    10.46
  9 2020  1  5  0    14.95     7.71     7.83     9.60
  1 2020  1  6  0    17.59     3.05     3.04     4.09
  2 2020  1  6  0    17.59     3.73     3.91     4.76
  3 2020  1  6  0    17.59     9.99     9.98     9.20
  4 2020  1  6  0    17.59     6.96     7.11     7.11
  5 2020  1  6  0    17.59    11.53    10.79    11.53
  6 2020  1  6  0    17.59    11.49    11.49     3.81
  7 2020  1  6  0    17.59     1.94     3.60     2.99
  8 2020  1  6  0    17.59     6.53     5.56     4.03
  9 2020  1  6  0    17.59     1.89     2.11     1.82
  1 2020  1  7  0    39.58     1.71     1.71     1.63
  2 2020  1  7  0    39.58     2.70     2.53     3.09
  3 2020  1  7  0    39.58     8.44     8.43     9.79
  4 2020  1  7  0    39.58    15.68    15.92    17.71
  5 2020  1  7  0    39.58    10.49    11.86    16.36
  6 2020  1  7  0    39.58     9.76     9.76    19.49
  7 2020  1  7  0    39.58     5.49     5.97     4.53
  8 2020  1  7  0    39.58     7.05     6.08     5.75
  9 2020  1  7  0    39.58     4.06     4.48     4.76
  1 2020  1  8  0    11.91     2.00     1.99     1.42
  2 2020  1  8  0    11.91     9.78    10.85    10.40
  3 2020  1  8  0    11.91    20.10    20.03    20.46
  4 2020  1  8  0    11.91    15.47    15.34    17.31
  5 2020  1  8  0    11.91     4.99     4.78     5.49
  6 2020  1  8  0    11.91    69.84    69.84    85.67
  7 2020  1  8  0    11.91     8.49     7.26     4.03
  8 2020  1  8  0    11.91    16.17    15.68    14.66
  9 2020  1  8  0    11.91     2.83     2.70     3.74
  1 2020  1  9  0    16.31     3.65     3.66     2.82
  2 2020  1  9  0    16.31     6.20     5.44     6.72
  3 2020  1  9  0    16.31    14.56    14.60    14.75
  4 2020  1  9  0    16.31    17.77    17.61    15.67
  5 2020  1  9  0    16.31     7.47     8.05     8.21
  6 2020  1  9  0    16.31    59.25    59.25    37.95
  7 2020  1  9  0    16.31     6.78     6.73     8.23
  8 2020  1  9  0    16.31    10.19    11.24    11.10
  9 2020  1  9  0    16.31     4.85     4.55     3.34
  1 2020  1 10  0    11.68     2.18     2.17     1.56
