CAM	Y	M	D	H	Obs	Pred0	Pred24	Pred48
1	2020	1	3	0	7.43	2.55	2.55	1.25
2	2020	1	3	0	7.43	3.66	2.73	2.12
3	2020	1	3	0	7.43	6.07	6.07	8.04
4	2020	1	3	0	7.43	3.98	3.95	2.88
5	2020	1	3	0	7.43	2.75	3.38	1.25
6	2020	1	3	0	7.43	13.47	13.47	5.93
7	2020	1	3	0	7.43	3.31	2.76	2.41
8	2020	1	3	0	7.43	3.98	3.72	4.9
9	2020	1	3	0	7.43	1.26	1.18	1.67
1	2020	1	4	0	4.91	4.67	4.69	4.83
2	2020	1	4	0	4.91	15.43	15.41	5.27
3	2020	1	4	0	4.91	14.68	14.71	16.1
4	2020	1	4	0	4.91	2.21	2.19	1.55
5	2020	1	4	0	4.91	0.38	0.42	1.15
6	2020	1	4	0	4.91	8.99	8.99	12.89
7	2020	1	4	0	4.91	1.25	1.16	0.9
8	2020	1	4	0	4.91	1.77	1.25	1.64
9	2020	1	4	0	4.91	1.15	1.17	0.81
1	2020	1	5	0	9.73	18.85	18.86	16.01
2	2020	1	5	0	9.73	8.56	7.95	7.31
3	2020	1	5	0	9.73	19.09	19.11	18.24
4	2020	1	5	0	9.73	13.23	13.43	15.34
5	2020	1	5	0	9.73	4.62	4.98	4.54
6	2020	1	5	0	9.73	28.64	28.64	23.35
7	2020	1	5	0	9.73	10.18	9.51	6.88
8	2020	1	5	0	9.73	11.38	11.91	10.28
9	2020	1	5	0	9.73	8.34	8.78	8.66
1	2020	1	6	0	10.02	10.4	10.4	9.75
2	2020	1	6	0	10.02	3.38	3.77	4.64
3	2020	1	6	0	10.02	10.3	10.29	10.1
4	2020	1	6	0	10.02	3.64	3.89	2.22
5	2020	1	6	0	10.02	3.63	3.18	1.27
6	2020	1	6	0	10.02	11.18	11.18	2.88
7	2020	1	6	0	10.02	1.57	3.26	2.65
8	2020	1	6	0	10.02	6.05	5.68	4.78
9	2020	1	6	0	10.02	2.12	2.35	2.01
1	2020	1	7	0	14.37	7.26	7.26	5.49
2	2020	1	7	0	14.37	2.48	2.76	2.85
3	2020	1	7	0	14.37	9.24	9.24	10.27
4	2020	1	7	0	14.37	8.7	8.75	11.06
5	2020	1	7	0	14.37	2.12	2.23	2.41
6	2020	1	7	0	14.37	8.48	8.48	20.42
7	2020	1	7	0	14.37	3.89	3.88	2.86
8	2020	1	7	0	14.37	9.07	7.25	7.48
9	2020	1	7	0	14.37	4.87	5.15	6.43
1	2020	1	8	0	6.54	5.29	5.27	8.24
2	2020	1	8	0	6.54	10.34	12.12	11.74
3	2020	1	8	0	6.54	19.6	19.55	20.85
4	2020	1	8	0	6.54	11.12	10.93	11.58
5	2020	1	8	0	6.54	4.38	3.3	5.01
6	2020	1	8	0	6.54	77.82	77.82	87.46
7	2020	1	8	0	6.54	5.34	4.21	4.81
8	2020	1	8	0	6.54	13.7	13.39	14.04
9	2020	1	8	0	6.54	1.97	1.96	3.34
1	2020	1	9	0	9.5	9.2	9.22	7.6
2	2020	1	9	0	9.5	6.8	6.13	7.01
3	2020	1	9	0	9.5	14.55	14.59	13.77
4	2020	1	9	0	9.5	10.0	9.81	7.94
5	2020	1	9	0	9.5	4.65	4.71	3.97
6	2020	1	9	0	9.5	65.55	65.55	43.51
7	2020	1	9	0	9.5	6.74	7.16	8.53
8	2020	1	9	0	9.5	9.13	9.55	8.91
9	2020	1	9	0	9.5	4.49	4.03	2.76
1	2020	1	10	0	5.08	8.15	8.1	5.68
2	2020	1	10	0	5.08	4.47	3.2	5.01
3	2020	1	10	0	5.08	13.37	13.3	10.47
4	2020	1	10	0	5.08	7.36	7.62	7.89
5	2020	1	10	0	5.08	4.11	5.03	4.8
6	2020	1	10	0	5.08	43.26	43.26	26.85
7	2020	1	10	0	5.08	6.69	4.81	3.53
8	2020	1	10	0	5.08	6.7	7.9	7.54
9	2020	1	10	0	5.08	2.34	2.5	2.1
1	2020	1	11	0	6.09	9.02	8.99	5.05
2	2020	1	11	0	6.09	10.23	11.17	10.04
3	2020	1	11	0	6.09	19.78	19.73	2.39
4	2020	1	11	0	6.09	8.96	8.94	2.0
5	2020	1	11	0	6.09	2.53	1.6	0.63
6	2020	1	11	0	6.09	27.57	27.57	1.68
7	2020	1	11	0	6.09	3.52	4.44	0.61
8	2020	1	11	0	6.09	13.09	14.49	1.41
9	2020	1	11	0	6.09	5.79	5.99	0.96
1	2020	1	12	0	2.11	7.53	7.53	7.04
2	2020	1	12	0	2.11	5.86	6.53	5.81
3	2020	1	12	0	2.11	10.06	10.03	13.79
4	2020	1	12	0	2.11	1.9	1.89	3.14
5	2020	1	12	0	2.11	3.12	2.98	7.08
6	2020	1	12	0	2.11	34.52	34.52	19.4
7	2020	1	12	0	2.11	4.02	4.37	3.34
8	2020	1	12	0	2.11	5.33	4.96	6.12
9	2020	1	12	0	2.11	0.89	0.89	1.11
1	2020	1	13	0	6.02	1.56	1.58	2.82
2	2020	1	13	0	6.02	28.04	10.67	4.12
3	2020	1	13	0	6.02	7.94	8.02	8.45
4	2020	1	13	0	6.02	0.93	0.92	1.03
5	2020	1	13	0	6.02	0.68	1.68	8.45
6	2020	1	13	0	6.02	5.78	5.78	12.29
7	2020	1	13	0	6.02	1.19	1.57	1.9
8	2020	1	13	0	6.02	1.29	1.17	1.44
9	2020	1	13	0	6.02	0.8	0.83	0.62
1	2020	1	14	0	3.06	2.39	2.4	1.87
2	2020	1	14	0	3.06	17.34	16.58	7.08
3	2020	1	14	0	3.06	19.93	19.97	14.14
4	2020	1	14	0	3.06	7.09	7.07	4.43
5	2020	1	14	0	3.06	1.52	2.78	1.69
6	2020	1	14	0	3.06	5.71	5.71	9.78
7	2020	1	14	0	3.06	1.72	1.73	2.03
8	2020	1	14	0	3.06	2.78	2.57	1.15
9	2020	1	14	0	3.06	2.53	2.35	1.97
1	2020	1	15	0	4.77	5.35	5.35	8.34
2	2020	1	15	0	4.77	39.82	38.41	49.23
3	2020	1	15	0	4.77	20.48	20.47	24.65
4	2020	1	15	0	4.77	3.38	3.38	3.82
5	2020	1	15	0	4.77	1.46	1.22	1.07
6	2020	1	15	0	4.77	4.21	4.21	5.36
7	2020	1	15	0	4.77	0.54	0.61	3.29
8	2020	1	15	0	4.77	1.73	2.51	1.25
9	2020	1	15	0	4.77	1.99	2.01	1.03
1	2020	1	16	0	4.23	7.78	7.77	6.14
2	2020	1	16	0	4.23	19.41	23.15	24.11
3	2020	1	16	0	4.23	47.09	47.05	30.88
4	2020	1	16	0	4.23	5.39	5.42	3.29
5	2020	1	16	0	4.23	0.56	1.81	0.7
6	2020	1	16	0	4.23	0.87	0.87	2.16
7	2020	1	16	0	4.23	1.46	2.1	2.38
8	2020	1	16	0	4.23	2.21	2.06	2.32
9	2020	1	16	0	4.23	2.59	2.24	1.99
1	2020	1	17	0	6.55	6.07	6.08	5.54
2	2020	1	17	0	6.55	2.44	2.28	3.36
3	2020	1	17	0	6.55	8.02	8.03	9.26
4	2020	1	17	0	6.55	2.68	2.75	6.65
5	2020	1	17	0	6.55	7.18	7.78	1.2
6	2020	1	17	0	6.55	15.88	15.88	35.0
7	2020	1	17	0	6.55	4.96	2.84	3.23
8	2020	1	17	0	6.55	2.84	1.94	1.9
9	2020	1	17	0	6.55	0.84	0.83	1.58
1	2020	1	18	0	8.68	5.92	5.93	5.52
2	2020	1	18	0	8.68	2.03	1.8	2.45
3	2020	1	18	0	8.68	5.93	5.94	7.91
4	2020	1	18	0	8.68	4.52	4.66	6.04
5	2020	1	18	0	8.68	10.75	10.75	12.91
6	2020	1	18	0	8.68	7.94	7.94	11.61
7	2020	1	18	0	8.68	5.25	5.27	8.1
8	2020	1	18	0	8.68	2.38	5.93	5.87
9	2020	1	18	0	8.68	1.47	1.45	3.21
1	2020	1	19	0	3.99	2.59	2.6	2.2
2	2020	1	19	0	3.99	4.19	5.81	1.13
3	2020	1	19	0	3.99	3.4	3.41	3.0
4	2020	1	19	0	3.99	1.68	1.62	1.65
5	2020	1	19	0	3.99	0.51	0.5	1.17
6	2020	1	19	0	3.99	6.63	6.63	12.96
7	2020	1	19	0	3.99	3.46	3.24	2.81
8	2020	1	19	0	3.99	1.89	1.47	1.66
9	2020	1	19	0	3.99	0.68	0.63	0.66
1	2020	1	20	0	25.61	8.21	8.2	9.07
2	2020	1	20	0	25.61	5.28	5.21	7.42
3	2020	1	20	0	25.61	19.64	19.61	25.54
4	2020	1	20	0	25.61	10.0	10.21	20.72
5	2020	1	20	0	25.61	4.51	5.48	5.2
6	2020	1	20	0	25.61	59.57	59.57	83.22
7	2020	1	20	0	25.61	10.86	11.37	16.31
8	2020	1	20	0	25.61	14.9	15.76	17.36
9	2020	1	20	0	25.61	5.52	5.32	22.24
1	2020	1	21	0	10.18	7.59	7.58	8.42
2	2020	1	21	0	10.18	7.09	6.94	9.26
3	2020	1	21	0	10.18	17.03	17.02	19.12
4	2020	1	21	0	10.18	13.33	13.55	15.08
5	2020	1	21	0	10.18	1.62	2.44	4.19
6	2020	1	21	0	10.18	62.1	62.1	75.32
7	2020	1	21	0	10.18	7.63	7.37	11.22
8	2020	1	21	0	10.18	10.4	10.57	12.23
9	2020	1	21	0	10.18	4.22	4.86	7.1
1	2020	1	22	0	1.57	1.92	1.92	2.9
2	2020	1	22	0	1.57	1.92	1.94	3.33
3	2020	1	22	0	1.57	2.02	2.02	2.55
4	2020	1	22	0	1.57	0.85	0.85	0.69
5	2020	1	22	0	1.57	0.83	0.99	0.62
6	2020	1	22	0	1.57	3.16	3.16	3.55
7	2020	1	22	0	1.57	0.66	0.85	0.91
8	2020	1	22	0	1.57	1.14	0.81	2.26
9	2020	1	22	0	1.57	0.55	0.56	0.97
1	2020	1	23	0	7.81	7.61	7.59	3.54
2	2020	1	23	0	7.81	7.03	8.0	6.81
3	2020	1	23	0	7.81	20.75	20.73	21.9
4	2020	1	23	0	7.81	11.32	11.73	11.89
5	2020	1	23	0	7.81	5.38	5.38	5.04
6	2020	1	23	0	7.81	42.59	42.59	55.15
7	2020	1	23	0	7.81	6.0	5.93	6.39
8	2020	1	23	0	7.81	11.65	11.4	11.02
9	2020	1	23	0	7.81	3.6	3.02	3.71
1	2020	1	24	0	15.15	9.95	9.96	9.13
2	2020	1	24	0	15.15	10.61	9.32	9.27
3	2020	1	24	0	15.15	22.63	22.65	19.88
4	2020	1	24	0	15.15	20.92	20.69	19.81
5	2020	1	24	0	15.15	5.74	3.31	6.02
6	2020	1	24	0	15.15	76.78	76.78	88.4
7	2020	1	24	0	15.15	6.89	7.97	7.59
8	2020	1	24	0	15.15	18.24	17.93	16.04
9	2020	1	24	0	15.15	7.31	7.55	7.39
1	2020	1	25	0	5.37	1.94	1.94	1.86
2	2020	1	25	0	5.37	1.13	0.94	1.03
3	2020	1	25	0	5.37	2.5	2.51	2.3
4	2020	1	25	0	5.37	0.9	0.91	0.72
5	2020	1	25	0	5.37	0.29	0.28	0.42
6	2020	1	25	0	5.37	6.57	6.57	4.53
7	2020	1	25	0	5.37	0.88	0.69	0.39
8	2020	1	25	0	5.37	1.74	1.65	1.51
9	2020	1	25	0	5.37	0.87	0.93	0.68
1	2020	1	26	0	5.21	16.32	16.35	11.32
2	2020	1	26	0	5.21	7.0	6.5	5.68
3	2020	1	26	0	5.21	14.43	14.45	7.12
4	2020	1	26	0	5.21	9.89	9.52	5.64
5	2020	1	26	0	5.21	2.59	2.59	1.25
6	2020	1	26	0	5.21	17.28	17.28	10.22
7	2020	1	26	0	5.21	2.87	2.81	1.61
8	2020	1	26	0	5.21	4.91	3.95	1.98
9	2020	1	26	0	5.21	3.74	3.86	3.33
1	2020	1	27	0	5.19	7.81	7.81	4.28
2	2020	1	27	0	5.19	4.2	7.82	3.58
3	2020	1	27	0	5.19	11.93	11.96	6.31
4	2020	1	27	0	5.19	7.71	7.64	2.09
5	2020	1	27	0	5.19	2.75	2.52	2.03
6	2020	1	27	0	5.19	12.59	12.59	7.27
7	2020	1	27	0	5.19	3.12	3.73	1.92
8	2020	1	27	0	5.19	5.12	4.91	3.05
9	2020	1	27	0	5.19	1.89	1.84	0.9
1	2020	1	28	0	4.8	9.76	9.76	8.27
2	2020	1	28	0	4.8	7.19	6.6	7.29
3	2020	1	28	0	4.8	18.65	18.63	10.45
4	2020	1	28	0	4.8	4.32	4.28	1.71
5	2020	1	28	0	4.8	2.5	2.27	1.82
6	2020	1	28	0	4.8	11.47	11.47	9.2
7	2020	1	28	0	4.8	3.82	5.23	1.98
8	2020	1	28	0	4.8	1.99	1.9	2.26
9	2020	1	28	0	4.8	1.69	1.82	1.14
1	2020	1	29	0	7.31	9.23	9.19	4.83
2	2020	1	29	0	7.31	3.38	6.89	8.9
3	2020	1	29	0	7.31	10.67	10.69	25.21
4	2020	1	29	0	7.31	1.59	1.66	7.19
5	2020	1	29	0	7.31	1.04	1.07	0.8
