CAM	Y	M 	D 	H	Obs	Pred0	Pred24	Pred48
  6 2020  1 15  0     4.57     7.20     7.20     7.19
  7 2020  1 15  0     4.57     1.17     1.23     3.39
  8 2020  1 15  0     4.57     1.38     2.35     2.44
  9 2020  1 15  0     4.57     2.00     2.02     1.05
  1 2020  1 16  0     3.30     3.62     3.63     4.00
  2 2020  1 16  0     3.30    17.57    19.85    25.31
  3 2020  1 16  0     3.30    46.37    46.40    42.44
  4 2020  1 16  0     3.30    14.21    14.07    14.61
  5 2020  1 16  0     3.30     4.28     3.89    16.14
  6 2020  1 16  0     3.30     3.73     3.73     3.40
  7 2020  1 16  0     3.30     1.04     1.87     1.93
  8 2020  1 16  0     3.30     3.79     3.90     4.21
  9 2020  1 16  0     3.30     2.90     3.29     4.26
  1 2020  1 17  0     2.74     1.43     1.43     2.77
  2 2020  1 17  0     2.74     2.76     2.62     3.83
  3 2020  1 17  0     2.74     7.83     7.82    11.19
  4 2020  1 17  0     2.74    10.63    10.65    15.21
  5 2020  1 17  0     2.74    10.88    12.47    18.73
  6 2020  1 17  0     2.74    23.95    23.95    28.58
  7 2020  1 17  0     2.74     5.45     2.01     3.94
  8 2020  1 17  0     2.74     2.75     3.79     5.19
  9 2020  1 17  0     2.74     1.14     1.13     2.96
  1 2020  1 18  0     2.45     1.79     1.78     2.96
  2 2020  1 18  0     2.45     2.56     2.62     2.57
  3 2020  1 18  0     2.45     7.60     7.59     8.77
  4 2020  1 18  0     2.45    14.84    15.10    16.32
  5 2020  1 18  0     2.45    15.90    15.90    20.03
  6 2020  1 18  0     2.45     8.01     8.01    10.25
  7 2020  1 18  0     2.45     5.52     4.91     5.55
  8 2020  1 18  0     2.45     3.13     5.42     6.42
  9 2020  1 18  0     2.45     2.00     2.05     2.69
  1 2020  1 19  0     2.23     1.50     1.50     1.66
  2 2020  1 19  0     2.23     8.16     9.03     4.44
  3 2020  1 19  0     2.23    10.36    10.37    11.07
  4 2020  1 19  0     2.23     7.91     7.76     9.26
  5 2020  1 19  0     2.23     2.30     2.20     2.50
  6 2020  1 19  0     2.23    17.34    17.34    21.65
  7 2020  1 19  0     2.23     3.62     3.77     6.18
  8 2020  1 19  0     2.23     4.74     4.30     3.01
  9 2020  1 19  0     2.23     1.44     1.44     0.95
  1 2020  1 20  0    16.94     4.35     4.34     4.02
  2 2020  1 20  0    16.94     5.54     5.60     7.23
  3 2020  1 20  0    16.94    20.13    20.10    27.59
  4 2020  1 20  0    16.94    14.93    15.16    25.53
  5 2020  1 20  0    16.94     7.24     8.36     8.99
  6 2020  1 20  0    16.94    60.38    60.38    76.65
  7 2020  1 20  0    16.94    10.37    11.35    15.37
  8 2020  1 20  0    16.94    14.07    14.31    16.80
  9 2020  1 20  0    16.94     5.85     6.61    25.39
  1 2020  1 21  0     9.40     2.48     2.47     2.57
  2 2020  1 21  0     9.40     6.00     5.98     7.75
  3 2020  1 21  0     9.40    18.25    18.24    19.70
  4 2020  1 21  0     9.40    18.92    19.23    17.77
  5 2020  1 21  0     9.40     6.04     6.53     2.44
  6 2020  1 21  0     9.40    55.04    55.04    75.43
  7 2020  1 21  0     9.40     7.43     7.69    12.14
  8 2020  1 21  0     9.40    11.45    11.83    12.79
  9 2020  1 21  0     9.40     4.87     5.93     5.37
  1 2020  1 22  0     0.61     0.92     0.92     1.33
  2 2020  1 22  0     0.61     3.31     3.24     4.87
  3 2020  1 22  0     0.61     3.99     4.00     6.12
  4 2020  1 22  0     0.61     4.22     4.22     3.81
  5 2020  1 22  0     0.61     5.42     5.52     5.25
  6 2020  1 22  0     0.61     8.31     8.31     6.30
  7 2020  1 22  0     0.61     1.21     1.39     1.41
  8 2020  1 22  0     0.61     1.94     1.39     3.49
  9 2020  1 22  0     0.61     0.53     0.55     1.15
  1 2020  1 23  0     3.93     1.43     1.43     1.69
  2 2020  1 23  0     3.93     6.65     7.64     6.95
  3 2020  1 23  0     3.93    21.62    21.60    22.36
  4 2020  1 23  0     3.93    13.34    13.77    15.89
  5 2020  1 23  0     3.93     5.69     5.69     5.82
  6 2020  1 23  0     3.93    46.07    46.07    51.47
  7 2020  1 23  0     3.93     9.00     9.29    10.75
  8 2020  1 23  0     3.93    12.18    12.10    12.12
  9 2020  1 23  0     3.93     3.65     3.51     4.25
  1 2020  1 24  0    14.49     2.61     2.61     2.61
  2 2020  1 24  0    14.49    10.74     9.62     9.32
  3 2020  1 24  0    14.49    25.57    25.59    22.01
  4 2020  1 24  0    14.49    24.63    23.97    23.82
  5 2020  1 24  0    14.49     3.05     4.10     5.61
  6 2020  1 24  0    14.49    77.75    77.75    74.52
  7 2020  1 24  0    14.49    10.72    12.22    11.59
  8 2020  1 24  0    14.49    17.73    17.23    15.71
  9 2020  1 24  0    14.49     8.07     8.30     8.91
  1 2020  1 25  0     4.14     0.63     0.63     0.71
  2 2020  1 25  0     4.14     1.76     1.62     1.72
  3 2020  1 25  0     4.14     2.68     2.68     2.55
  4 2020  1 25  0     4.14     5.65     5.64     5.55
  5 2020  1 25  0     4.14     2.65     2.38     1.63
  6 2020  1 25  0     4.14     6.60     6.60     7.61
  7 2020  1 25  0     4.14     0.87     0.66     0.50
  8 2020  1 25  0     4.14     1.79     1.82     1.44
  9 2020  1 25  0     4.14     0.60     0.65     0.57
  1 2020  1 26  0     4.76     4.62     4.62     2.48
  2 2020  1 26  0     4.76     7.52     7.43     6.61
  3 2020  1 26  0     4.76    16.79    16.80     9.46
  4 2020  1 26  0     4.76    16.29    15.92     9.90
  5 2020  1 26  0     4.76    11.44    11.35    11.94
  6 2020  1 26  0     4.76    18.26    18.26    10.79
  7 2020  1 26  0     4.76     3.51     2.99     1.73
  8 2020  1 26  0     4.76     5.82     5.69     3.76
  9 2020  1 26  0     4.76     3.31     3.29     3.32
  1 2020  1 27  0     0.39     2.02     2.02     1.06
  2 2020  1 27  0     0.39     4.98     9.51     4.07
  3 2020  1 27  0     0.39    14.00    14.05     7.28
  4 2020  1 27  0     0.39    11.50    11.47     6.65
  5 2020  1 27  0     0.39     8.03     7.79     9.08
  6 2020  1 27  0     0.39    17.46    17.46     8.27
  7 2020  1 27  0     0.39     4.02     5.85     1.66
  8 2020  1 27  0     0.39     4.79     4.65     3.07
  9 2020  1 27  0     0.39     1.70     1.61     0.87
  1 2020  1 28  0     0.00     3.04     3.04     1.90
  2 2020  1 28  0     0.00     8.74     7.26     8.07
  3 2020  1 28  0     0.00    20.74    20.73     9.88
  4 2020  1 28  0     0.00    10.48    10.46     7.03
  5 2020  1 28  0     0.00     5.52     4.94     7.62
  6 2020  1 28  0     0.00    14.93    14.93    12.53
  7 2020  1 28  0     0.00     4.29     5.91     5.17
  8 2020  1 28  0     0.00     2.72     2.39     2.59
  9 2020  1 28  0     0.00     1.56     1.49     1.08
  1 2020  1 29  0     0.00     3.12     3.12     2.31
  2 2020  1 29  0     0.00     5.05     8.17     8.94
  3 2020  1 29  0     0.00    16.48    16.49    23.45
  4 2020  1 29  0     0.00    17.61    17.67    17.70
  5 2020  1 29  0     0.00     6.88     9.01     8.78
  6 2020  1 29  0     0.00     5.17     5.17     5.29
  7 2020  1 29  0     0.00     3.43     3.03     3.56
  8 2020  1 29  0     0.00     4.99     2.74     2.89
  9 2020  1 29  0     0.00     1.75     1.72     1.82
  1 2020  1 30  0     0.00     2.09     2.09     1.61
  2 2020  1 30  0     0.00    15.88    15.46     7.99
  3 2020  1 30  0     0.00    10.21    10.22    10.18
  4 2020  1 30  0     0.00    20.18    20.06    11.93
  5 2020  1 30  0     0.00    18.36    16.05     4.77
  6 2020  1 30  0     0.00     6.18     6.18     5.59
  7 2020  1 30  0     0.00     2.62     2.63     2.48
  8 2020  1 30  0     0.00     2.68     2.94     1.87
  9 2020  1 30  0     0.00     1.33     1.40     0.91
  1 2020  1 31  0     2.62     1.88     1.88     4.36
  2 2020  1 31  0     2.62    16.87    13.69    15.86
  3 2020  1 31  0     2.62    20.32    20.37     9.83
  4 2020  1 31  0     2.62    16.96    16.91    18.94
  5 2020  1 31  0     2.62    11.27    13.43    13.79
  6 2020  1 31  0     2.62     3.91     3.91     2.64
  7 2020  1 31  0     2.62     4.73     3.61     3.40
  8 2020  1 31  0     2.62     1.27     6.80     9.21
  9 2020  1 31  0     2.62     3.68     3.43     2.88
  1 2020  2  1  0     0.16     2.29     2.29     2.07
  2 2020  2  1  0     0.16    12.55    13.49     9.90
  3 2020  2  1  0     0.16    21.58    21.55    18.22
  4 2020  2  1  0     0.16    19.13    19.14    20.22
  5 2020  2  1  0     0.16    15.26    15.22     8.01
  6 2020  2  1  0     0.16     3.56     3.56     5.32
  7 2020  2  1  0     0.16     1.90     1.75     2.31
  8 2020  2  1  0     0.16     1.99     2.94     2.45
  9 2020  2  1  0     0.16     4.90     4.78     2.93
  1 2020  2  2  0     0.00     2.12     2.13     2.23
  2 2020  2  2  0     0.00    13.20    15.73    11.18
  3 2020  2  2  0     0.00    14.36    14.44    15.07
  4 2020  2  2  0     0.00    14.06    14.15    17.41
  5 2020  2  2  0     0.00    15.10    14.43    24.56
  6 2020  2  2  0     0.00     4.78     4.78     9.52
  7 2020  2  2  0     0.00     1.47     5.07     3.17
  8 2020  2  2  0     0.00     5.51     4.33     3.76
  9 2020  2  2  0     0.00     1.52     1.57     1.75
  1 2020  2  3  0     0.00     1.02     1.02     0.87
  2 2020  2  3  0     0.00     5.18     6.05     4.40
  3 2020  2  3  0     0.00     5.29     5.28     4.46
  4 2020  2  3  0     0.00     6.09     6.10     5.89
  5 2020  2  3  0     0.00     8.21     6.89     7.23
  6 2020  2  3  0     0.00    12.42    12.42     8.70
  7 2020  2  3  0     0.00     0.82     0.73     0.83
  8 2020  2  3  0     0.00     1.82     1.62     1.55
  9 2020  2  3  0     0.00     0.69     0.69     0.65
  1 2020  2  4  0     2.82     3.40     3.40     3.68
  2 2020  2  4  0     2.82    12.01     9.70     3.66
  3 2020  2  4  0     2.82    12.38    12.40    11.42
  4 2020  2  4  0     2.82    32.73    36.85    41.15
  5 2020  2  4  0     2.82    11.01    17.31    10.98
  6 2020  2  4  0     2.82     4.04     4.04    16.78
  7 2020  2  4  0     2.82     2.41     3.20     3.01
  8 2020  2  4  0     2.82     4.35     6.33     9.74
  9 2020  2  4  0     2.82     6.29     7.10     6.65
  1 2020  2  5  0     0.28     2.27     2.28     5.24
  2 2020  2  5  0     0.28     4.11     4.69     3.70
  3 2020  2  5  0     0.28    15.17    15.42    27.62
  4 2020  2  5  0     0.28     7.72     7.72    34.20
  5 2020  2  5  0     0.28     6.82    11.83    11.98
  6 2020  2  5  0     0.28    10.69    10.69    19.34
  7 2020  2  5  0     0.28     1.41     1.74    16.30
  8 2020  2  5  0     0.28    12.36    12.37    21.34
  9 2020  2  5  0     0.28     1.85     2.13     5.85
  1 2020  2  6  0     0.18     6.81     6.79     6.20
  2 2020  2  6  0     0.18    52.22    44.36    48.66
  3 2020  2  6  0     0.18    62.61    62.52    54.98
  4 2020  2  6  0     0.18    35.59    34.56    27.60
  5 2020  2  6  0     0.18     8.34     7.66     7.26
  6 2020  2  6  0     0.18    28.89    28.89    12.48
  7 2020  2  6  0     0.18    31.96    28.46    34.47
  8 2020  2  6  0     0.18    17.61    13.39    11.61
  9 2020  2  6  0     0.18     5.09     5.22     4.94
